"시도별","경제활동별",2024 p),2024 p),2024 p)
"시도별","경제활동별",명목,실질,실질기여도
"대구광역시","순생산물세",5143157,4378846,-0.27
"대구광역시","총부가가치(기초가격)",69381155,62353239,-0.52
"대구광역시","농업, 임업 및 어업",260377,231372,0.15
"대구광역시","광제조업",14789404,12312340,-0.14
"대구광역시","광업",9495,7024,0.01
"대구광역시","제조업",14779909,12304330,-0.15
"대구광역시","음식료품 및 담배제조업",544567,494176,-0.01
"대구광역시","섬유 의복 및 가죽 제품 제조업",1206503,1044754,0.04
"대구광역시","목재종이인쇄 및 복제업",697649,592722,0.04
"대구광역시","석탄 및 석유 화학제품 제조업",1464537,1262375,0.06
"대구광역시","비금속광물 및 금속제품 제조업",3449329,1952373,-0.16
"대구광역시","전기 전자 및 정밀기기 제조업",2683398,2715289,-0.12
"대구광역시","기계 운송장비 및 기타 제품 제조업",4733926,4415643,0.00
"대구광역시","전기, 가스, 증기 및 공기 조절 공급업",745284,608462,0.05
"대구광역시","건설업",3675957,3155525,-1.35
"대구광역시","서비스업",49910133,45984972,0.77
"대구광역시","도매 및 소매업",6176939,5329876,-0.09
"대구광역시","운수 및 창고업",3014893,3130360,0.34
"대구광역시","숙박 및 음식점업",2536703,1948554,-0.02
"대구광역시","정보통신업",2172289,2109647,-0.03
"대구광역시","금융 및 보험업",4846721,4309789,0.06
"대구광역시","부동산업",6273189,7053543,0.08
"대구광역시","사업서비스업",5062273,4282073,0.16
"대구광역시","전문, 과학 및 기술 서비스업",2964524,2431614,0.11
"대구광역시","사업시설 관리, 사업 지원 및 임대 서비스업",2097749,1849885,0.05
"대구광역시","공공 행정, 국방 및 사회보장 행정",5326363,4689704,0.11
"대구광역시","교육 서비스업",5110613,4710124,0.03
"대구광역시","보건업 및 사회복지 서비스업",6835031,6344330,0.18
"대구광역시","문화 및 기타서비스업",2555119,2184668,-0.05
"대구광역시","수도, 하수 및 폐기물 처리, 원료 재생업",486372,446962,0.00
"대구광역시","예술, 스포츠 및 여가관련 서비스",801579,715357,-0.03
"대구광역시","협회 및 단체, 수리 및 기타 개인 서비스업",1267168,1022917,-0.02
"인천광역시","지역내총생산(시장가격)",125591891,116477164,3.09
"인천광역시","순생산물세",9704695,8857509,0.22
"인천광역시","총부가가치(기초가격)",115887196,107690148,2.87
"인천광역시","농업, 임업 및 어업",262405,234484,-0.02
"인천광역시","광제조업",32708151,28989684,1.90
"인천광역시","광업",60896,45020,0.00
"인천광역시","제조업",32647255,28944106,1.90
"인천광역시","음식료품 및 담배제조업",1711577,1534936,-0.01
"인천광역시","섬유 의복 및 가죽 제품 제조업",516848,444975,0.02
"인천광역시","목재종이인쇄 및 복제업",878182,681033,-0.06
"인천광역시","석탄 및 석유 화학제품 제조업",7839300,7347891,1.53
"인천광역시","비금속광물 및 금속제품 제조업",4975415,2976933,-0.29
"인천광역시","전기 전자 및 정밀기기 제조업",7856789,8522133,0.47
"인천광역시","기계 운송장비 및 기타 제품 제조업",8869144,8217298,0.23
"인천광역시","전기, 가스, 증기 및 공기 조절 공급업",3731690,2014668,0.11
"인천광역시","건설업",7667692,6591127,-0.55
"인천광역시","서비스업",71517258,69698311,1.44
"인천광역시","도매 및 소매업",9325772,8046902,-0.02
"인천광역시","운수 및 창고업",13536624,16562689,0.76
"인천광역시","숙박 및 음식점업",3022575,2296449,0.00
"인천광역시","정보통신업",1803283,1811050,-0.01
"인천광역시","금융 및 보험업",4456642,3977510,0.03
"인천광역시","부동산업",8737645,8565805,-0.11
"인천광역시","사업서비스업",6619851,5703951,0.13
"인천광역시","전문, 과학 및 기술 서비스업",3319381,2778946,0.12
"인천광역시","사업시설 관리, 사업 지원 및 임대 서비스업",3300470,2923789,0.01
"인천광역시","공공 행정, 국방 및 사회보장 행정",7375912,6488821,0.10
"인천광역시","교육 서비스업",5415994,4978632,0.02
"인천광역시","보건업 및 사회복지 서비스업",7158744,6695800,0.39
"인천광역시","문화 및 기타서비스업",4064216,3506851,0.13
"인천광역시","수도, 하수 및 폐기물 처리, 원료 재생업",863692,802832,0.01
"인천광역시","예술, 스포츠 및 여가관련 서비스",1633464,1450831,0.14
"인천광역시","협회 및 단체, 수리 및 기타 개인 서비스업",1567060,1263053,-0.01
"광주광역시","지역내총생산(시장가격)",54836685,49500789,2.45
"광주광역시","순생산물세",3300689,2780098,0.12
"광주광역시","총부가가치(기초가격)",51535996,46752956,2.32
"광주광역시","농업, 임업 및 어업",114112,95901,-0.03
"광주광역시","광제조업",14706013,13252142,0.97
"광주광역시","광업",2893,2139,0.00
"광주광역시","제조업",14703120,13250328,0.98
"광주광역시","음식료품 및 담배제조업",658159,653381,0.05
"광주광역시","섬유 의복 및 가죽 제품 제조업",130916,113149,0.00
"광주광역시","목재종이인쇄 및 복제업",148888,125065,0.00
"광주광역시","석탄 및 석유 화학제품 제조업",1492069,1240068,0.17
"광주광역시","비금속광물 및 금속제품 제조업",1746010,985933,0.21
