"시군구별(1)","시군구별(2)",급여형태별(1),급여형태별(2),2024,2024,2024,2024,2024
"시군구별(1)","시군구별(2)",급여형태별(1),급여형태별(2),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원)
"서울","마포구",의료기관,입원,36546,585448,991617,214835699,176221119
"서울","마포구",의료기관,외래,343501,6439687,10378694,375658952,267027363
"서울","마포구",약국,소계,327433,3381705,64001035,146872187,107390252
"서울","양천구",합계,소계,404446,8812677,97332082,930580321,697291158
"서울","양천구",의료기관,소계,404165,8811641,13560488,740178630,557906545
"서울","양천구",의료기관,입원,48930,739377,1294059,290301275,238351060
"서울","양천구",의료기관,외래,403198,8072264,12266429,449877355,319555484
"서울","양천구",약국,소계,387984,4330019,83771594,190401691,139384613
"서울","강서구",합계,소계,516723,11190398,122073173,1201559812,900209294
"서울","강서구",의료기관,소계,516559,11189181,17004173,960693691,724008261
"서울","강서구",의료기관,입원,64071,944339,1652120,367218695,299714762
"서울","강서구",의료기관,외래,515257,10244842,15352053,593474996,424293500
"서울","강서구",약국,소계,494645,5485015,105069000,240866120,176201033
"서울","구로구",합계,소계,386954,8697825,96952407,968558601,730807694
"서울","구로구",의료기관,소계,386809,8696831,13335686,774335440,588928770
"서울","구로구",의료기관,입원,52874,836179,1449074,326248708,268984706
"서울","구로구",의료기관,외래,385638,7860652,11886612,448086732,319944065
"서울","구로구",약국,소계,370250,4314974,83616721,194223161,141878924
"서울","금천구",합계,소계,223242,4845259,56913713,548375792,414709510
"서울","금천구",의료기관,소계,223139,4844492,7391134,434374825,331169596
"서울","금천구",의료기관,입원,31717,482039,865830,180119274,148568281
"서울","금천구",의료기관,외래,222426,4362453,6525304,254255551,182601315
"서울","금천구",약국,소계,213763,2444101,49522579,114000966,83539914
"서울","영등포구",합계,소계,377675,7972234,87518729,872317103,655194002
"서울","영등포구",의료기관,소계,377553,7971317,12328520,700645509,530075921
"서울","영등포구",의료기관,입원,49622,730698,1250897,280593556,231903598
"서울","영등포구",의료기관,외래,376437,7240619,11077623,420051953,298172323
"서울","영등포구",약국,소계,359861,3883352,75190209,171671594,125118082
"서울","동작구",합계,소계,356638,7661160,84595058,821192400,615044867
"서울","동작구",의료기관,소계,356486,7660398,12243324,660177426,497809180
"서울","동작구",의료기관,입원,43886,649475,1099444,254066410,209926401
"서울","동작구",의료기관,외래,355563,7010923,11143880,406111015,287882779
"서울","동작구",약국,소계,339811,3628689,72351734,161014975,117235687
"서울","관악구",합계,소계,447290,9276329,100790445,994270989,748209477
"서울","관악구",의료기관,소계,447142,9275149,15131752,800903979,607673481
"서울","관악구",의료기관,입원,55398,814236,1384389,308211332,253909241
"서울","관악구",의료기관,외래,446055,8460913,13747363,492692647,353764240
"서울","관악구",약국,소계,424609,4432043,85658693,193367010,140535996
"서울","서초구",합계,소계,393431,7988715,88278815,827832645,611947685
